dentistWage	country	healthScore	avgWage	comparison
15491	Switzerland	41	5000	
10505	Ireland	44	3819	2.750720084
9881	U.K.	66	3625	2.725793103
5549	Portugal	68	1679	3.304943419
7060	Spain	74	2406	2.93433084
9023	France	54	3530	2.556090652
10102	Belgium	48	3832	2.636221294
9777	Netherlands	31	3823	2.557415642
9911	Germany	78	4105	2.414372716
11625	Denmark	65	6173	1.883201037
7468	Sweden	71	3982	1.875439478
8600	Italy	100	2479	3.469140783
62	Slovenia	51	2002	0.03096903097
9817	Austria	20	3670	2.67493188
3620	Croatia	0	1391	2.602444285
3504	Hungary	45	1261	2.778747026
4955	Slovakia	4	1291	3.838109992
3629	Poland	23	1472	2.465353261
68	Lithuania	20	1799	0.0377987771
41	Latvia	11	1383	0.02964569776
4379	Estonia	19	1754	2.496579247
10551	Finland	49	3653	2.888310977
5585	Greece	36	1355	4.121771218
3767	Bulgaria	13	914	4.121444201
3191	Romania	29	1320	2.417424242
