dentistWage	country	healthScore	avgWage	comparison
10505	Ireland	44	3819	275
9881	U.K.	66	3625	272
5549	Portugal	68	1679	330
7060	Spain	74	2406	293
9023	France	54	3530	255
10102	Belgium	48	3832	263
9777	Netherlands	31	3823	255
9911	Germany	78	4105	241
11625	Denmark	65	6173	188
7468	Sweden	71	3982	187
8600	Italy	100	2479	347
9817	Austria	20	3670	267
3620	Croatia	0	1391	260
3504	Hungary	45	1261	277
4955	Slovakia	4	1291	383
3629	Poland	23	1472	246
4379	Estonia	19	1754	249
10551	Finland	49	3653	288
5585	Greece	36	1355	412
3767	Bulgaria	13	914	412
3191	Romania	29	1320	241
